fund_slug,description
allwinner-technology,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: allwinner-technology.
credit-china-fintech-holdings,Investment activities in Netherlands (NL). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: credit-china-fintech-holdings.
9f-group,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: 9f-group.
baofu,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: baofu.
ah-ventures,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: ah-ventures.
bantam-group,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: bantam-group.
project-11,Investment activities in United States (US). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: project-11.
bharti-enterprises,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: bharti-enterprises.
ascend-money,Investment activities in Thailand (TH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: ascend-money.
bluepoint-partners,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: bluepoint-partners.
bw-capital-partners,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: bw-capital-partners.
georgian-co-investment-fund,Investment activities in Netherlands (NL). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: georgian-co-investment-fund.
binary-financial,Investment activities in Netherlands (NL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: binary-financial.
binary-financial,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: binary-financial.
freelands-ventures,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: freelands-ventures.
freelands-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: freelands-ventures.
comerica-incorporated,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: comerica-incorporated.
gp-bullhound,Investment activities in Sweden (SE). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: gp-bullhound.
new-york-stock-exchange,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: new-york-stock-exchange.
buchanan-capital-management,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: buchanan-capital-management.
fortress-investment-group,Investment activities in Gibraltar (GI). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: fortress-investment-group.
fortress-investment-group,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: fortress-investment-group.
block-corp,Investment activities in China (CN). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: block-corp.
bridgescale-partners,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: bridgescale-partners.
oak-investment,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: oak-investment.
hash-global,"Investment activities in Singapore (SG). Normal investments: 11. Lead investments: 1. Main sectors: Blockchain Service (41.67%), Blockchain Infrastructure (25.0%), DeFi (16.67%). Associated fund: hash-global."
hash-global,"Investment activities in China (CN). Normal investments: 4. Lead investments: 1. Main sectors: Blockchain Service (80.0%), Others (20.0%). Associated fund: hash-global."
hash-global,"Investment activities in Japan (JP). Normal investments: 2. Lead investments: 1. Main sectors: Social (66.67%), NFT (33.33%). Associated fund: hash-global."
hash-global,"Investment activities in Hong Kong (HK). Normal investments: 3. Lead investments: 0. Main sectors: CeFi (66.67%), Social (33.33%). Associated fund: hash-global."
hash-global,"Investment activities in United States (US). Normal investments: 2. Lead investments: 1. Main sectors: Blockchain Service (33.33%), Social (33.33%), Blockchain Infrastructure (33.33%). Associated fund: hash-global."
hash-global,"Investment activities in Canada (CA). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), GameFi (50.0%). Associated fund: hash-global."
hash-global,Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: hash-global.
hash-global,Investment activities in Nigeria (NG). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: hash-global.
hash-global,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: hash-global.
hash-global,Investment activities in South Africa (ZA). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: hash-global.
oak-grove-ventures,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: oak-grove-ventures.
oak-grove-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: oak-grove-ventures.
promontory-technologies,Investment activities in Canada (CA). Normal investments: 0. Lead investments: 1. Main sectors: Chain (100.0%). Associated fund: promontory-technologies.
noia-capital,"Investment activities in France (FR). Normal investments: 6. Lead investments: 0. Main sectors: Blockchain Service (33.33%), GameFi (16.67%), Social (16.67%). Associated fund: noia-capital."
noia-capital,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), CeFi (50.0%). Associated fund: noia-capital."
hivemind-capital-partners,"Investment activities in United States (US). Normal investments: 0. Lead investments: 5. Main sectors: Blockchain Service (40.0%), GameFi (40.0%), Social (20.0%). Associated fund: hivemind-capital-partners."
hivemind-capital-partners,Investment activities in Austria (AT). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: hivemind-capital-partners.
hivemind-capital-partners,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: hivemind-capital-partners.
hivemind-capital-partners,Investment activities in United Kingdom (GB). Normal investments: 0. Lead investments: 1. Main sectors: NFT (100.0%). Associated fund: hivemind-capital-partners.
selinicapital,"Investment activities in United States (US). Normal investments: 8. Lead investments: 1. Main sectors: Blockchain Service (22.22%), DeFi (22.22%), CeFi (22.22%). Associated fund: selinicapital."
selinicapital,Investment activities in Bulgaria (BG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: selinicapital.
selinicapital,Investment activities in Cayman Islands (KY). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: selinicapital.
selinicapital,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: selinicapital.
selinicapital,Investment activities in Poland (PL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: selinicapital.
selinicapital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: selinicapital.
selinicapital,Investment activities in Italy (IT). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: selinicapital.
wagmi-ventures,"Investment activities in United States (US). Normal investments: 9. Lead investments: 0. Main sectors: Blockchain Service (44.44%), DeFi (22.22%), Social (11.11%). Associated fund: wagmi-ventures."
wagmi-ventures,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: wagmi-ventures.
wagmi-ventures,Investment activities in Estonia (EE). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: wagmi-ventures.
wagmi-ventures,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: wagmi-ventures.
wagmi-ventures,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: wagmi-ventures.
wagmi-ventures,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: wagmi-ventures.
bockchain-builders-fund,Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: bockchain-builders-fund.
monke-ventures,"Investment activities in United States (US). Normal investments: 4. Lead investments: 1. Main sectors: Blockchain Service (60.0%), DeFi (20.0%), CeFi (20.0%). Associated fund: monke-ventures."
monke-ventures,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: monke-ventures.
monke-ventures,Investment activities in Thailand (TH). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: monke-ventures.
